OBJECTID;N_DEPTO;Y;X;id_unico
255;Santa Cruz;-18,989493735;-63,332269429;45003402,6
256;Santa Cruz;-19,586781815;-63,225603647;41982347,4
257;Santa Cruz;-19,791890726;-62,698312948;41934628,5
258;Santa Cruz;-19,718158049;-63,043508456;41647654,7
260;Santa Cruz;-19,841736757;-62,883866955;41332475,2
263;Santa Cruz;-19,857869048;-62,88297076;41254465,4
266;Santa Cruz;-19,883584816;-62,855314215;41180991,2
268;Santa Cruz;-19,781348247;-62,810009436;41773060
270;Santa Cruz;-19,816046446;-62,838135054;41547238
272;Santa Cruz;-19,823021711;-62,792053105;41601079,3
273;Santa Cruz;-19,738803905;-63,008076331;41610117
274;Santa Cruz;-19,766762676;-62,949596432;41580271,1
275;Santa Cruz;-19,793576329;-62,952377932;41440972,1
276;Santa Cruz;-19,819557333;-62,948925062;41318094,1
277;Santa Cruz;-19,787594854;-63,020676683;41341241,8
278;Santa Cruz;-19,761725782;-63,024104504;41464564,5
279;Santa Cruz;-19,739599611;-63,020668705;41582383,6
280;Santa Cruz;-19,716508823;-63,004826926;41728639,6
281;Santa Cruz;-19,719686907;-62,980523576;41758319,6
282;Santa Cruz;-19,769819975;-63,007744482;41454842,4
283;Santa Cruz;-19,79133275;-63,005117706;41352024,8
284;Santa Cruz;-19,816379172;-63,004683537;41227702
285;Santa Cruz;-19,740640074;-62,976944145;41659590,8
286;Santa Cruz;-19,767387282;-62,976411768;41526342,5
287;Santa Cruz;-19,790781325;-62,976772134;41408579,7
289;Santa Cruz;-19,74035224;-62,94928076;41713273,8
290;Santa Cruz;-19,402957922;-62,537990032;44191546,2
291;Santa Cruz;-19,25032081;-62,476360028;45090905
292;Santa Cruz;-19,248069262;-62,497005889;45065204,1
293;Santa Cruz;-19,677568912;-62,640084538;42612896,8
294;Santa Cruz;-19,659964649;-62,629363226;42721087,2
295;Santa Cruz;-19,670402478;-62,638105232;42652404,8
296;Santa Cruz;-19,37415489;-62,540364277;44334857,1
297;Santa Cruz;-20,444460472;-62,518356991;39206281
299;Santa Cruz;-20,271090849;-62,542534309;39950629,3
300;Santa Cruz;-19,51088455;-62,563515112;43594699,6
301;Santa Cruz;-19,543328243;-62,562458129;43432673,6
302;Santa Cruz;-19,832237129;-62,719948728;41694304,3
303;Santa Cruz;-19,388781729;-62,532704091;44273893,4
304;Santa Cruz;-19,632463399;-62,609061896;42897014,1
305;Santa Cruz;-19,172932928;-62,523540743;45409618,5
306;Santa Cruz;-19,420177395;-62,564195034;44055115
307;Santa Cruz;-19,441315008;-62,569509903;43937285,8
309;Santa Cruz;-19,432747373;-62,524869246;44063583,5
310;Santa Cruz;-19,353262042;-62,568219481;44391298,5
311;Santa Cruz;-19,478257021;-62,564588751;43758236,2
313;Santa Cruz;-19,608937028;-62,578091473;43073337
314;Santa Cruz;-18,830952185;-63,077666979;46306946,8
316;Santa Cruz;-18,925383211;-63,033427911;45856498,8
317;Santa Cruz;-18,675272653;-60,140484396;52303497,7
318;Santa Cruz;-19,297456756;-60,618838602;48351891,7
