c_manz,lat,long,id_unico
0060300090,-16.3023858341,-68.0825915562,629218102-A
0121980200,-16.2843824871,-68.0731153503,630770775-A
0161588300,-16.2912086811,-68.0520887924,629781891-A
0193930110,-16.3236088928,-68.0525721118,626724157-A
0193370100,-16.3226899013,-68.0241602515,626361726-A
0194000080,-16.322258042,-68.0432852988,626704203-A
0192310070,-16.3244873944,-68.0415507395,626466115-A
0194000070,-16.3218261691,-68.0434231618,626747194-A
0091860070,-16.2917344382,-68.1011356311,630534402-A
0060260040,-16.2952439888,-68.0818408151,629883272-A
0091890100,-16.2935826283,-68.0944949307,630249014-A
0192260090,-16.3135994955,-68.0224771691,627193098-A
0150900110,-16.2951658466,-68.0625750326,629576738-A
0150870230,-16.3010269488,-68.0636030078,629038160-A
0060290020,-16.3012838014,-68.0828787833,629327319-A
0060290010,-16.3008896787,-68.0829357593,629365633-A
0150880130,-16.3014586532,-68.0637683875,628999944-A
0212150490,-16.3237524617,-68.0554664897,626756730-A
0060260070,-16.2955940704,-68.0818361766,629849984-A
0052440390,-16.3101601588,-68.0837153382,628499222-A
0030390060,-16.3030484429,-68.0757657557,629043975-A
0182340460,-16.305427941,-68.0457090294,628333741-A
0171590210,-16.3024406405,-68.0650007163,628926870-A
0173310210,-16.3049666766,-68.0640510879,628672264-A
0173100200,-16.3043811417,-68.0620916791,628696067-A
0171590200,-16.3025868169,-68.0648014989,628909800-A
0173150190,-16.3028699779,-68.0606963612,628816638-A
0213908110,-16.3211615478,-68.0619178405,627104962-A
0213908100,-16.3210327969,-68.0620892292,627119891-A
0213908090,-16.3212934544,-68.0622951703,627098531-A
0213908070,-16.3214155908,-68.062777233,627094704-A
0213908061,-16.32140195,-68.0629725963,627099128-A
0212148050,-16.3201642168,-68.0632161839,627220151-A
0212148040,-16.3155405142,-68.0634455065,627661408-A
0212148030,-16.3200700298,-68.0650221673,627258061-A
0212148020,-16.3157670194,-68.0656535485,627675496-A
0051020031,-16.3024017508,-68.090598938,629347699-A
0020540010,-16.3007052641,-68.0713483911,629194234-A
